total_changes,churn_ratio,avg_changes_per_file,additions,deletions,changed_files,commits_per_file,review_intensity,commits,has_reviewer,solo_pr,many_reviewers,num_reviewers,review_hours,fast_merge,day_of_week,is_weekend,keyword_count,diff_lines,has_test_file,has_config_file,num_python_files,num_js_files,title_length,comments,review_comments
16.0,0.5454545454545454,8.0,10.0,6.0,1.0,1.5,0.0,3,1,0,0,2,374.66333333333336,0,4,0,2,44,0,0,0,1,64,4,0
4.0,1.5,2.0,1.0,3.0,1.0,0.5,1.0,1,1,0,0,2,1.1844444444444444,1,6,1,1,18,0,0,0,1,53,1,2
111.0,2.393939393939394,7.928571428571429,32.0,79.0,13.0,0.14285714285714285,1.3333333333333333,2,1,0,1,4,31.217222222222222,0,4,0,1,118,0,1,0,13,62,3,4
282.0,0.0035460992907801418,47.0,281.0,1.0,5.0,1.8333333333333333,0.08333333333333333,11,1,0,1,4,44.64138888888889,0,0,0,0,25,1,0,0,3,51,1,1
66.0,0.015151515151515152,22.0,65.0,1.0,2.0,1.0,0.25,3,1,0,1,3,2.8430555555555554,0,1,0,1,71,1,0,0,2,72,0,1
33.0,0.7894736842105263,8.25,18.0,15.0,3.0,1.0,0.2,4,1,0,0,2,1.41,1,1,0,1,62,0,0,0,2,57,0,1
60.0,0.35555555555555557,12.0,44.0,16.0,4.0,1.0,0.3333333333333333,5,1,0,0,2,19.903333333333332,0,1,0,2,45,1,0,0,4,25,8,2
150.0,1.6491228070175439,25.0,56.0,94.0,5.0,0.6666666666666666,0.4,4,1,0,0,2,46.531666666666666,0,0,0,2,79,0,1,0,5,73,1,2
136.0,0.16101694915254236,19.428571428571427,117.0,19.0,6.0,0.2857142857142857,1.0,2,1,0,0,2,2.5077777777777777,0,1,0,1,33,1,0,0,6,75,0,3
13.0,3.6666666666666665,4.333333333333333,2.0,11.0,2.0,0.3333333333333333,0.0,1,1,0,0,2,3.378888888888889,0,1,0,0,43,0,0,0,1,34,0,0
216.0,0.5069444444444444,36.0,143.0,73.0,5.0,0.5,0.5,3,1,0,0,2,2.3133333333333335,0,2,0,0,69,0,0,0,5,58,1,2
36.0,0.05714285714285714,12.0,34.0,2.0,2.0,0.6666666666666666,1.3333333333333333,2,1,0,0,2,11.139166666666666,0,1,0,1,49,0,1,0,0,51,3,4
24.0,0.9230769230769231,4.8,12.0,12.0,4.0,0.4,0.0,2,1,0,0,2,19.284166666666668,0,1,0,1,66,1,1,0,0,66,0,0
5372.5099999999975,1.4150606741573022,114.30872340425526,2224.0,3148.5099999999975,46.0,0.10638297872340426,0.6666666666666666,5,1,0,1,3,17.939722222222223,0,1,0,1,82,1,1,0,39,27,0,4
18.0,0.1875,9.0,15.0,3.0,1.0,1.0,0.0,2,1,0,0,1,44.450833333333335,0,0,0,2,66,0,0,0,0,36,0,0
23.0,0.0,11.5,23.0,0.0,1.0,1.0,0.6666666666666666,2,1,0,1,3,17.491666666666667,0,1,0,1,53,0,0,0,1,72,0,2
27.0,0.3333333333333333,6.75,20.0,7.0,3.0,1.25,0.8333333333333334,5,1,0,1,4,120.24555555555555,0,4,0,0,35,0,0,0,3,72,0,5
1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.0,1,1,0,0,2,19.6875,0,1,0,0,8,0,0,0,1,57,0,0
4.0,0.0,2.0,4.0,0.0,1.0,0.5,0.0,1,1,0,0,2,7.980277777777777,0,2,0,0,18,0,0,0,0,52,0,0
24.0,0.08695652173913043,4.8,22.0,2.0,4.0,0.2,0.5,1,1,0,0,2,9.590555555555556,0,2,0,0,53,0,0,0,4,36,0,1
12.0,0.8571428571428571,2.4,6.0,6.0,4.0,0.4,0.0,2,1,0,0,1,0.06111111111111111,1,2,0,0,44,0,1,0,4,45,0,0
54.0,0.9642857142857143,27.0,27.0,27.0,1.0,0.5,0.0,1,1,0,0,1,0.08777777777777777,1,2,0,1,64,0,1,0,1,59,0,0
2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1,1,0,0,1,0.026111111111111113,1,2,0,0,9,0,1,0,1,39,0,0
167.0,0.12751677852348994,41.75,148.0,19.0,3.0,0.25,0.0,1,1,0,0,2,0.36083333333333334,1,2,0,1,47,1,0,0,3,59,0,0
6.0,0.75,2.0,3.0,3.0,2.0,0.3333333333333333,0.0,1,1,0,0,1,0.012777777777777779,1,2,0,1,23,0,1,0,2,36,0,0
22.0,1.875,4.4,7.0,15.0,4.0,0.2,0.0,1,1,0,0,2,0.6288888888888889,1,2,0,0,52,0,0,0,4,36,0,0
14.0,0.5,7.0,9.0,5.0,1.0,0.5,0.5,1,1,0,0,2,1.2413888888888889,1,2,0,1,29,0,0,0,1,61,0,1
179.0,0.046511627906976744,35.8,171.0,8.0,4.0,0.8,0.4,4,1,0,0,2,1.1625,1,2,0,4,58,1,0,0,4,67,8,2
81.0,0.05128205128205128,20.25,77.0,4.0,3.0,1.5,0.5714285714285714,6,1,0,0,2,1.3747222222222222,1,2,0,2,49,1,0,0,3,99,8,4
407.0,0.29936305732484075,81.4,313.0,94.0,4.0,0.8,0.2,4,1,0,0,2,2.5625,0,2,0,0,60,0,0,0,2,71,0,1
25.0,0.3684210526315789,12.5,18.0,7.0,1.0,0.5,1.5,1,1,0,0,2,4.2555555555555555,0,2,0,1,51,0,0,0,1,46,0,3
174.0,0.9886363636363636,24.857142857142858,87.0,87.0,6.0,0.42857142857142855,0.25,3,1,0,1,3,1.8216666666666668,1,2,0,3,68,0,1,0,6,41,0,1
721.0,0.488659793814433,240.33333333333334,484.0,237.0,2.0,0.3333333333333333,0.5,1,1,0,0,2,9.853055555555555,0,2,0,0,70,1,0,0,2,31,0,1
201.0,0.1952662721893491,28.714285714285715,168.0,33.0,6.0,0.42857142857142855,0.25,3,1,0,0,2,12.706666666666667,0,2,0,0,41,1,0,0,4,63,0,1
208.0,0.6456692913385826,14.857142857142858,126.0,82.0,13.0,0.35714285714285715,0.5,5,1,0,0,2,2.3519444444444444,0,2,0,2,86,1,0,0,13,85,1,3
18.0,1.1111111111111112,6.0,8.0,10.0,2.0,0.3333333333333333,0.0,1,1,0,0,2,0.4002777777777778,1,2,0,0,38,0,0,0,2,41,1,0
4261.5099999999975,2.8263105924596026,125.33852941176463,1113.0,3148.5099999999975,33.0,0.11764705882352941,0.8,4,1,0,0,2,2.089166666666667,0,2,0,0,84,1,1,0,33,36,0,4
151.0,4.428571428571429,13.727272727272727,27.0,124.0,10.0,0.09090909090909091,1.0,1,1,0,0,2,0.35638888888888887,1,2,0,0,65,1,0,0,10,71,0,2
1582.0,0.08647906657515443,71.9090909090909,1456.0,126.0,21.0,0.22727272727272727,0.6666666666666666,5,1,0,1,3,3.508611111111111,0,2,0,1,65,1,1,0,21,52,0,4
49.0,0.8518518518518519,24.5,26.0,23.0,1.0,1.0,0.3333333333333333,2,1,0,0,2,1.5741666666666667,1,2,0,0,72,0,0,0,1,55,0,1
44.0,0.022727272727272728,14.666666666666666,43.0,1.0,2.0,1.3333333333333333,0.4,4,1,0,0,2,1.575,1,2,0,2,48,1,0,0,2,74,8,2
7249.0,0.7665692007797271,278.8076923076923,4103.0,3146.0,25.0,0.15384615384615385,0.6,4,1,0,1,3,0.9275,1,2,0,1,44,1,0,0,25,43,0,3
960.0,0.0322234156820623,60.0,930.0,30.0,15.0,0.4375,0.375,7,1,0,0,2,3.5619444444444444,0,2,0,1,35,1,1,0,15,57,0,3
3589.5099999999975,7.123325791855198,326.3190909090907,441.0,3148.5099999999975,10.0,0.18181818181818182,0.0,2,1,0,0,2,1.553611111111111,1,2,0,1,31,1,1,0,4,47,0,0
2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,1,0,0,2,0.2961111111111111,1,2,0,1,9,0,0,0,0,45,1,1
39.0,0.6,7.8,24.0,15.0,4.0,0.4,0.3333333333333333,2,1,0,1,3,0.6191666666666666,1,2,0,2,50,1,0,0,4,60,0,1
11.0,3.0,5.5,2.0,9.0,1.0,0.5,0.5,1,1,0,0,2,0.2777777777777778,1,2,0,1,43,0,0,0,1,66,0,1
19.0,0.25,6.333333333333333,15.0,4.0,2.0,1.0,0.5,3,1,0,0,2,0.4822222222222222,1,2,0,2,33,1,0,0,2,69,0,2
27.0,0.07692307692307693,13.5,25.0,2.0,1.0,1.0,0.6666666666666666,2,1,0,0,2,0.5733333333333334,1,2,0,3,48,0,0,0,1,77,0,2
48.0,0.96,16.0,24.0,24.0,2.0,0.6666666666666666,0.0,2,1,0,0,2,0.8047222222222222,1,2,0,3,59,0,1,0,2,49,0,0
82.0,0.024691358024691357,16.4,80.0,2.0,4.0,0.4,2.0,2,1,0,1,3,1.8286111111111112,1,2,0,1,43,1,0,0,4,72,2,6
18.0,18.0,9.0,0.0,18.0,1.0,0.5,0.5,1,1,0,0,2,0.3725,1,2,0,0,25,0,1,0,0,26,1,1
